ID,name,region,Published,End
0,Fifth Street Bridge Maintenance Project,Minnesota,2021-06-28,2021-07-15
1,to Remove and Replace Gas Furnaces,Ohio,2021-06-28,2021-07-16
2,Vehicle Destruction For Salvage,Texas,2021-06-28,2021-07-20
3,THE PURCHASE OF REAL ESTATE,Ohio,2021-06-28,2021-07-09
4,Aggregate Surfacing-Waseca County (South),Minnesota,2021-06-28,2021-07-08
5,Aggregate Surfacing - Waseca County (North),Minnesota,2021-06-28,2021-07-08
6,Elevator Replacement at Apthorp Tower,Ohio,2021-06-28,2021-07-20
7,to provide Eviction Services as required for our SMHA units located throughout Stark County,Ohio,2021-06-28,2021-07-12
8,Temporary Staffing,Maine,2021-06-28,2021-07-09
9,Acquisition and Implementation of an Immunization Information System,South Dakota,2021-06-28,2021-08-13
10,Story County Justice Center HVAC Equipment Replacement Phase 2 and 3,Iowa,2021-06-28,2021-07-20
11,Curtainwall and Storefront scope of work for the upcoming Hotel and Conference Center project at the University of Virginia,Virginia,2021-06-28,2021-07-20
12,HAYESVILLE FIRE DEPARTMNT FIRE STATION ADDITION CONSTRUCTION PROJECT,Ohio,2021-06-28,2021-07-19
13,Customer Relationship Management (CRM),Iowa,2021-06-28,2021-07-09
14,Regional Communications and Outreach Services,California,2021-06-28,2021-07-19
15,JonesZylon Food Equipment,Iowa,2021-06-28,2021-07-13
16,T.H 317 Price West Rd. Widening & Resurfacing Phase 1,Ohio,2021-06-28,2021-07-13
17,Pavement 2021 project,Maine,2021-06-28,2021-07-14
18,Sidewalk and Drainage Improvements,Maine,2021-06-28,2021-07-15
19,Removal of Used Vending Equipment for the Dept. of Blind,Iowa,2021-06-28,2021-07-12
20,Pharmacy Board Toxicology Screening Services,Iowa,2021-06-28,2021-07-12
21,Engineering Services,Maine,2021-06-28,2021-07-19
22,Crooked Spruce Drive Tax Sale,Maine,2021-06-28,2021-07-15
23,Fortigate 601 firewalls,Maine,2021-06-28,2021-07-09
24,Legal Services,Maine,2021-06-28,2021-07-19
25,Oak Grove Elementary School Pedestrian Improvement Project Replacement,Virginia,2021-06-28,2021-07-19
26,Graphic Design Services,Maine,2021-06-28,2021-07-13
27,Financing of Three (3) 31 Yard Side Loader Refuse Collection Trucks and Two (2) Rear Load Refuse Collection Trucks,Massachusetts,2021-06-28,2021-07-19
28,Athletic Training Services,Maine,2021-06-28,2021-07-13
29,MCINSTOSH PLAYGROUND SURFACE INSTALLATION RE-BID 2,Ohio,2021-06-28,2021-07-15
30,construction of N Market Street Water Main,Ohio,2021-06-28,2021-07-19
31,Architectural and Engineering Services,Massachusetts,2021-06-28,2021-07-19
32,Ophir Elementary School Generators,California,2021-06-28,2021-07-16
33,2021 Girard Street Paving Program,Ohio,2021-06-28,2021-07-15
34,Yelm Hwy and Meridian Intersection Improvements,Washington,2021-06-28,2021-07-16
35,GLTC Employee Insurance Coverage,Virginia,2021-06-28,2021-07-16
36,ROUTE 20 WATERLINE REPLACEMENT,Ohio,2021-06-28,2021-07-16
37,THIRD-PARTY BUILDING PLAN  REVIEW & INSPECTION SERVICES,Washington,2021-06-28,2021-07-15
38,Endodontic Services,California,2021-06-28,2021-07-15
39,Construction of Water Tank Painting,Ohio,2021-06-28,2021-07-12
40,ON-CALL ELECTRICAL SERVICES,Washington,2021-06-28,2021-07-15
41,Food Service Management Companies,Louisiana,2021-06-28,2021-07-12
42,Public Wi-Fi,Indiana,2021-06-28,2021-07-09
43,Term Contract: Portable Play Yards,Florida,2021-06-28,2021-07-06
44,2021 Pavement Slurry Seal and Resurfacing Project (WPR021)(Rebid),California,2021-06-28,2021-07-15
45,Repair/Replacement Glass for COT Vehicles - rebid,Ohio,2021-06-28,2021-07-13
46,Common Reed Control at 4 Forest Preserves,Illinois,2021-06-28,2021-07-15
47,Food and Beverage Items,Louisiana,2021-06-28,2021-07-06
48,Certified Remanufactured High Density Landfill Compactor,Virginia,2021-06-28,2021-07-15
49,RFP for Airport Improvements,New Hampshire,2021-06-28,2021-07-15
50,OEM Kubota / New Holland Parts & Service - Rebid #2,Ohio,2021-06-28,2021-07-06
51,Produce deliveries the month of August 2021,Louisiana,2021-06-28,2021-07-14
52,"Mason Neck State Park, Lorton, VA Residence HVAC System Replacement",Virginia,2021-06-28,2021-07-27
53,Surge Pump Installation,Florida,2021-06-28,2021-07-28
54,Milk and juice products,Virginia,2021-06-28,2021-07-14
55,Olympic Middle School Boiler Replacement,Washington,2021-06-28,2021-07-07
56,MOWER - DISTRICT 2,Alabama,2021-06-28,2021-07-14
57,Van Ness Water Wells Transmission Main Project,California,2021-06-28,2021-07-14
58,"One (1) new 2022 International 4-door cab,",Kentucky,2021-06-28,2021-07-13
59,Janitorial Services for Eastside Fire & Rescue Headquarters,Washington,2021-06-28,2021-07-13
60,Mechanical System Improvements,Ohio,2021-06-28,2021-07-13
